Name,Platform,Audience,Narrative,Affiliation/Links
Jackson Hinkle,X / Rumble / Telegram,3.4M (X),Pro‑Iran/Russia; anti‑Israel/West; MAGA‑Communism,Grayzone orbit; RT; Hezbollah/Iran signal‑boost
Sulaiman Ahmed,X / Telegram / YouTube (guest),722K (X),Anti‑Israel; pro‑“Resistance Axis”; heavy breaking/viral framing,Cited by PressTV/RT Arabic; Quds News synergy
Khalissee,X,376K,Anti‑US/West; conspiracist video provocations,Cross‑engagement with pro‑Pal networks
Motaz Azaiza,X / IG,18.5M,Gaza‑centric visual narratives,Broad pro‑Pal ecosystem
Mohamad Safa,X,1.3M,Pro‑Lebanon/anti‑Israel,Lebanon‑aligned activist media
Anastasia Maria Loupis,X,950K,Anti‑West/anti‑vax; anti‑Israel spin,Disinfo influencer cluster
Missfalasteenia,X,215K,Pro‑Pal; anti‑Israel,Pro‑Pal creator network
Ali‑Akbar Raefipour,Telegram / X,~1M,Iranian propaganda; conspiracies,Masaf Institute; IRGC orbit
Mohammed Hijab,YouTube / X,1.3M (YT),Anti‑Zionist religious content,Debates with pro‑Pal figures
Mohammad Saleh Meftah,X (FA),250K,Pro‑Iran regime,Persian opinion‑leader web
Morgan Ariel,X / Instagram,620K,“America First” + pro‑Iran tilt; anti‑West,MAGA‑Communism trendline
Abby Martin (Empire Files),YouTube / X,830K (YT),Anti‑Israel/West,"Links w/ Max Blumenthal, Grayzone"
Max Blumenthal,X / Grayzone,380K,Anti‑Zionist; pro‑Iran/Russia,Grayzone core; MintPress
Rania Khalek,X / BreakThrough,285K,Pro‑Assad/Iran; anti‑West,With Ben Norton; Grayzone
Aaron Maté,X / Grayzone,460K,Anti‑Israel/West,With Blumenthal; RT presence
Ben Norton,X / Multipolarista,320K,Pro‑Iran; anti‑West,With Rania Khalek
Carlos Latuff,X,850K,Anti‑Israel cartoons,Pro‑Pal artist networks
CJ Werleman,X / YouTube,190K,Anti‑Israel/India propaganda,Al‑Jazeera opinion; friction w/ Ahmed
Ali Abunimah (EI),X / Electronic Intifada,230K,Anti‑Israel; BDS,EI network
Quds News Network,X / Telegram,2.1M,Hamas‑aligned news; anti‑Israel,Amplification accelerator
Mossad Commentary (ISRAEL MOSSAD),X,230K,Fake pro‑Pal “intel” persona,Flagged by ProPublica
Taliban PR Dept. (#FreePalestine),X,180K,Anti‑West/Israel,Flagged by ProPublica
Dominick “Dom Lucre” McGee,X,800K,QAnon + anti‑Israel,Flagged by ProPublica
Sprinter / WizardSX,X,500K,Pro‑Pal conspiracism,Flagged by ProPublica
Richard Medhurst,X / YouTube,480K,Pro‑Iran/Syria; anti‑West,Indie media circuit
Kit Klarenberg,Grayzone / X,70K,Anti‑West; pro‑Russia/Iran,Grayzone contributor
Vanessa Beeley,X / 21stCenturyWire,130K,Pro‑Assad; anti‑Israel,Graphika‑flagged networks
Sarah Abdallah (@sahouraxo),X,500K,Pro‑Russia/Assad,Graphika‑flagged networks
Intel_Sky,X,1.2M,Mil‑tracking; anti‑West slant,OSINT “mil” ecosystem
Resistance News Network,Telegram,165K,"Pro‑Hamas (EN), daily",Referenced by NYPost
Gaza Now in English,Telegram,200K,"Pro‑Hamas, live updates",Referenced by NYPost
Samidoun,NGO / Telegram,–,Prisoner solidarity; Hamas fundraising,Referenced by AJC
SJP (Students for Justice in Palestine),US campus org,–,Amplifies pro‑Hamas narratives,Referenced by NYPost
Mustafa Ayyash (Gaza Now founder),Gaza Now,–,Sanctioned UK/US; network operator,Referenced by NYPost
The Grayzone (site),Web / X,800K (X est.),Pro‑Russia/Iran/Assad,Wikipedia cited
MintPress News,Web / X,750K (X est.),Pro‑Russia; anti‑Israel,Wikipedia cited
Mnar Muhawesh Adley,X,200K,"Founder, MintPress; pro‑Iran line",Wikipedia cited
